CPF_Number,Operator_ID,Operator_Name,Operator_Searchable_Name,Region,Pipeline_Type,How_Discovered?,Case_Type,Notice_Actions,Cited_Regulations,Violation_Category,Proposed_Penalties,Assessed_Penalties,Collected_Penalties,Case_Status,Opened_Date,Latest_Order_Type,Latest_Order_Date,Closed_Date,Notice_Sent_Date,Operator_Response_Date,Operator_Request_Hearing_Date,Hearing_Date,Final_Order_Date,Petition_for_Reconsideration_Date,Decision_on_Petition_Date,Consent_Order_Date,Corrective_Action_Order_Date,Order_Direct_Amendment_Date,Safety_Order_Date,Penalty_Collected_Date,Region_Withdrawn_Date,Opened_Year,Closed_Year,Order_Issued_Ind,Final_Order_Ind,Petition_for_Reconsideration_Ind,Decision_on_Petition_Ind,Consent_Order_Ind,Corrective_Action_Order_Ind,Order_Direct_Amendment_Ind,Safety_Order_Ind,Penalty_Collected_Ind,Case_Closure_Ind,Proposed_Civil_Penalty_Ind,Proposed_Compliance_Order_Ind,Penalty_Reduction_Ind,Basis_for_penalty_reduction,Report_Type,Report_Number,WMS_Activity_Seq,Data_Source,Data_as_of
520166001S,32537,WYOMING PIPELINE COMPANY,WYOMING PIPELINE COMPANY,Western,INTRASTATE LIQUID ONSHORE,Failure Investigation,Safety Order,,,,,,,CLOSED,1/25/16,Safety Order,6/27/16,1/12/17,1/25/16,2/25/16,,,,,,,,,6/27/16,,,2016,2017,Yes,,,,,,,Yes,,,,,,,Incident Report,Hazardous Liquid - 20150302,15-151022S,WMS (SMART migrated),09/03/2025 9:00 AM
520167001S,18667,FREEPORT-MCMORAN OIL & GAS,FREEPORT-MCMORAN OIL & GAS,Western,INTERSTATE LIQUID OFFSHORE,Integrated,Safety Order,,,,,,,CLOSED,1/22/16,Consent Order,4/14/16,6/20/17,1/22/16,2/1/16,,,,,,4/14/16,,,,,,2016,2017,Yes,,,,Yes,,,,,,,,,,,,15-149168S,WMS (SMART migrated),09/03/2025 9:00 AM
420161001,2620,"COLUMBIA GULF TRANSMISSION, LLC","COLUMBIA GULF TRANSMISSION, LLC",Southwest,GAS INTERSTATE ONSHORE,Failure Investigation,Notice of Probable Violation,CP,191.15(c),Reporting,33100,33100,33100,CLOSED,1/19/16,Final Order,12/1/16,12/16/16,1/19/16,2/23/16,,,12/1/16,,,,,,,12/16/16,,2016,2016,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,Incident Report,Gas Transmission and Gathering - 20140056,15-152031S,WMS (SMART migrated),09/03/2025 9:00 AM
520160001W,32645,"HILCORP ALASKA, LLC","HILCORP ALASKA, LLC",Western,GAS INTRASTATE ONSHORE,Integrated,Warning Letter,WI,"192.739(a)(1),  192.739(a)(2),  192.743(a)",Operation and/or Maintenance,,,,CLOSED,1/13/16,,,1/13/16,1/13/16,,,,,,,,,,,,,2016,2016,,,,,,,,,,Yes,,,,,,,14-149002S,WMS (SMART migrated),09/03/2025 9:00 AM
120161002,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)","ALGONQUIN GAS TRANSMISSION, LLC",Eastern,GAS INTERSTATE ONSHORE,Construction,Notice of Probable Violation,CO/CP,192.227(a),Welding of Steel in Pipelines,26200,26200,26200,CLOSED,1/12/16,Final Order,4/29/16,5/25/16,1/12/16,2/11/16,,,4/29/16,,,,,,,5/25/16,,2016,2016,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,15-149868S,WMS (SMART migrated),09/03/2025 9:00 AM
120160001W,2268,"CHARLOTTESVILLE, CITY OF","CHARLOTTESVILLE, CITY OF",Eastern,GAS INTRASTATE ONSHORE,First Operating,Warning Letter,WI,192.805(b),Operator Qualification,,,,CLOSED,1/11/16,,,1/11/16,1/11/16,,,,,,,,,,,,,2016,2016,,,,,,,,,,Yes,,,,,,,15-151748S,WMS (SMART migrated),09/03/2025 9:00 AM
420165001,300,"PLAINS PIPELINE, L.P.","PLAINS PIPELINE, L.P.",Southwest,INTERSTATE LIQUID ONSHORE,Failure Investigation,Notice of Probable Violation,CP,"195.442(a),  195.442(c)(5),  195.442(c)(6)(i)",Damage Prevention,190000,184300,184300,CLOSED,1/6/16,Final Order,3/2/17,3/27/17,1/6/16,2/11/16,,,3/2/17,,,,,,,3/27/17,,2016,2017,Yes,Yes,,,,,,,Yes,Yes,Yes,,Yes,Additional evidence,Incident Report,Hazardous Liquid - 20150031,15-150150S,WMS (SMART migrated),09/03/2025 9:00 AM
520150021M,31142,NORTH SLOPE BOROUGH ENERGY MANAGEMENT,NORTH SLOPE BOROUGH ENERGY MANAGEMENT,Western,GAS INTRASTATE ONSHORE,Integrated,Notice of Amendment,NOA,"192.285(a)(2),  192.605(a),  192.605(b)(1),  192.605(b)(9),  192.615(b)(2)","Joining of Materials Other Than by Welding,  OME Procedural Manual,  Operation and/or Maintenance",,,,CLOSED,12/29/15,,,10/11/16,12/29/15,3/11/16,,,,,,,,,,,,2015,2016,,,,,,,,,,Yes,,,,,,,15-149012S,WMS (SMART migrated),09/03/2025 9:00 AM
520150020W,31879,"ENERGY WEST DEVELOPMENT, INC.","ENERGY WEST DEVELOPMENT, INC.",Western,GAS INTRASTATE ONSHORE,Specialized,Warning Letter,WI,"191.22(c)(2)(i),  191.22(c)(2)(ii),  192.225(b)","Reporting,  Welding of Steel in Pipelines ",,,,CLOSED,12/28/15,,,12/28/15,12/28/15,2/9/16,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-151269S,WMS (SMART migrated),09/03/2025 9:00 AM
520150018W,31142,NORTH SLOPE BOROUGH ENERGY MANAGEMENT,NORTH SLOPE BOROUGH ENERGY MANAGEMENT,Western,GAS INTRASTATE ONSHORE,Integrated,Warning Letter,WI,"192.283(a)(1)(i),  192.467(a),  192.603(b),  192.616(c),  192.625(e),  192.625(f),  192.707(c)","Corrosion Control,  Joining of Materials Other Than by Welding,  Operation and/or Maintenance,  Public Awareness",,,,CLOSED,12/23/15,,,12/23/15,12/23/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-150748S,WMS (SMART migrated),09/03/2025 9:00 AM
520153001M,99128,FAIRBANKS NATURAL GAS,FAIRBANKS NATURAL GAS,Western,INTERSTATE LNG ONSHORE,Integrated,Notice of Amendment,NOA,"191.3(1)(iii),  193.2605(c)","Operation and/or Maintenance,  Reporting",,,,CLOSED,12/23/15,,,2/10/16,12/23/15,1/25/16,,,,,,,,,,,,2015,2016,,,,,,,,,,Yes,,,,,,,14-151249S,WMS (SMART migrated),09/03/2025 9:00 AM
520155025W,32645,"HILCORP ALASKA, LLC","HILCORP ALASKA, LLC",Western,INTERSTATE LIQUID ONSHORE,Integrated,Warning Letter,WI,195.452(j)(3),Integrity Management,,,,CLOSED,12/23/15,,,12/23/15,12/23/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-150149S,WMS (SMART migrated),09/03/2025 9:00 AM
520150019W,32645,"HILCORP ALASKA, LLC","HILCORP ALASKA, LLC",Western,GAS INTRASTATE ONSHORE,Integrated,Warning Letter,WI,"192.479(a),  192.5(a)(2),  192.709(c),  192.745(a),  192.905(a)","Corrosion Control,  Integrity Management,  Operation and/or Maintenance,  Transportation of Gas",,,,CLOSED,12/23/15,,,12/23/15,12/23/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-149005S,WMS (SMART migrated),09/03/2025 9:00 AM
420155029M,31994,"PANTHER OPERATING COMPANY, LLC","PANTHER OPERATING COMPANY, LLC",Southwest,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Amendment,NOA,"195.202,  195.402(a),  195.402(c)(3),  195.413,  195.440(a),  195.442(a),  195.450,  195.452(f)","Construction,  Damage Prevention,  Integrity Management,  OME Procedural Manual,  Operation and/or Maintenance,  Public Awareness",,,,CLOSED,12/21/15,,,10/1/19,12/21/15,3/1/16,,,,,,,,,,,,2015,2019,,,,,,,,,,Yes,,,,,,,14-147302S,WMS (SMART migrated),09/03/2025 9:00 AM
120151027M,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)","ALGONQUIN GAS TRANSMISSION, LLC",Eastern,GAS INTERSTATE ONSHORE,Construction,Notice of Amendment,NOA,192.225(a),Welding of Steel in Pipelines,,,,CLOSED,12/17/15,,,2/10/16,12/17/15,1/14/16,,,,,,,,,,,,2015,2016,,,,,,,,,,Yes,,,,,,,15-149868S,WMS (SMART migrated),09/03/2025 9:00 AM
520151011W,32163,ROCKIES EXPRESS PIPELINE LLC,ROCKIES EXPRESS PIPELINE LLC,Western,GAS INTERSTATE ONSHORE,Integrated,Warning Letter,WI,192.245(c),Welding of Steel in Pipelines,,,,CLOSED,12/16/15,,,12/16/15,12/16/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-149631S,WMS (SMART migrated),09/03/2025 9:00 AM
520156007W,32537,WYOMING PIPELINE COMPANY,WYOMING PIPELINE COMPANY,Western,INTRASTATE LIQUID ONSHORE,Failure Investigation,Warning Letter,WI,195.54(a),Reporting,,,,CLOSED,12/16/15,,,12/16/15,12/16/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-151022S,WMS (SMART migrated),09/03/2025 9:00 AM
120155021,1845,"BUCKEYE PARTNERS, LP","BUCKEYE PARTNERS, LP",Eastern,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CO, CP","195.402(a),  195.573(a)(1),  195.573(d)","Corrosion Control,  OME Procedural Manual",270600,213800,213800,CLOSED,12/15/15,Final Order,12/7/16,12/16/16,12/15/15,1/11/16,,,12/7/16,,,,,,,12/16/16,,2015,2016,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Additional evidence,,,13-142132S,WMS (SMART migrated),09/03/2025 9:00 AM
420155028W,31476,"ROSE ROCK MIDSTREAM OPERATING, LLC",ET CRUDE OPERATING LLC,Southwest,INTERSTATE LIQUID ONSHORE,Construction,Warning Letter,WI,"195.202,  195.228(a)",Construction,,,,CLOSED,12/8/15,,,12/8/15,12/8/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-150587S,WMS (SMART migrated),09/03/2025 9:00 AM
520155024,39090,"NUTAAQ PIPELINE, LLC","NUTAAQ PIPELINE, LLC",Western,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CO, WI","195.402,  195.563","Corrosion Control,  OME Procedural Manual",,,,CLOSED,12/2/15,Final Order,8/4/16,8/4/16,12/2/15,12/10/15,,,8/4/16,,,,,,,,,2015,2016,Yes,Yes,,,,,,,,Yes,,Yes,,,,,14-148790S,WMS (SMART migrated),09/03/2025 9:00 AM
320155014M,15979,"ERGON TERMINALING, INC.","ERGON TERMINALING, INC.",Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,195.440(d),Public Awareness,,,,CLOSED,11/23/15,,,11/8/16,11/23/15,,,,,,,,,,,,,2015,2016,,,,,,,,,,Yes,,,,,,,12-141443S,WMS (SMART migrated),09/03/2025 9:00 AM
320155011M,515,DAKOTA GASIFICATION COMPANY,DAKOTA GASIFICATION COMPANY,Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,"195.440(c),  195.440(d)",Public Awareness,,,,CLOSED,11/20/15,,,5/13/16,11/20/15,12/2/15,,,,,,,,,,,,2015,2016,,,,,,,,,,Yes,,,,,,,12-137938S,WMS (SMART migrated),09/03/2025 9:00 AM
320155010,32334,TC OIL PIPELINE OPERATIONS INC,SOUTH BOW INFRASTRUCTURE OPERATIONS INC.,Central,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CO, CO/CP, CP","195.401(a),  195.573(a)(1),  195.573(e),  195.577(a)","Corrosion Control,  Operation and/or Maintenance",187200,135400,135400,CLOSED,11/20/15,Final Order,5/31/17,6/15/17,11/20/15,12/18/15,12/18/15,,5/31/17,,,,,,,6/15/17,,2015,2017,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Additional evidence,,,12-139404S,WMS (SMART migrated),09/03/2025 9:00 AM
320155015W,15979,"ERGON TERMINALING, INC.","ERGON TERMINALING, INC.",Central,INTERSTATE LIQUID ONSHORE,First Operating,Warning Letter,WI,"195.440(b),  195.440(c)",Public Awareness,,,,CLOSED,11/20/15,,,11/20/15,11/20/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,12-141443S,WMS (SMART migrated),09/03/2025 9:00 AM
320155012W,12913,SUPERIOR REFINING COMPANY LLC,SUPERIOR REFINING COMPANY LLC,Central,INTERSTATE LIQUID ONSHORE,First Operating,Warning Letter,WI,195.440(c),Public Awareness,,,,CLOSED,11/20/15,,,11/20/15,11/20/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,12-140527S,WMS (SMART migrated),09/03/2025 9:00 AM
320155013M,12913,SUPERIOR REFINING COMPANY LLC,SUPERIOR REFINING COMPANY LLC,Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,"195.440(b),  195.440(c)",Public Awareness,,,,CLOSED,11/20/15,,,5/27/16,11/20/15,12/18/15,,,,,,,,,,,,2015,2016,,,,,,,,,,Yes,,,,,,,12-140527S,WMS (SMART migrated),09/03/2025 9:00 AM
120155020M,32062,IMTT-PIPELINE,IMTT-PIPELINE,Eastern,INTERSTATE LIQUID ONSHORE,Control Room Management,Notice of Amendment,NOA,"195.446(a),  195.446(b)(1),  195.446(b)(4),  195.446(c)(2),  195.446(c)(3),  195.446(c)(5),  195.446(f)(1),  195.446(f)(2)",Control Room Management,,,,CLOSED,11/19/15,,,11/21/16,11/19/15,12/18/15,,,,,,,,,,,,2015,2016,,,,,,,,,,Yes,,,,,,,13-142195S,WMS (SMART migrated),09/03/2025 9:00 AM
120151026,32490,ARLINGTON STORAGE COMPANY LLC,ARLINGTON STORAGE COMPANY LLC,Eastern,GAS INTERSTATE ONSHORE,Specialized,Notice of Probable Violation,CP,"192.705(b),  192.706,  192.709(c)",Operation and/or Maintenance,98100,98100,98100,CLOSED,11/17/15,Final Order,1/6/17,1/25/17,11/17/15,12/15/15,,,1/6/17,,,,,,,1/25/17,,2015,2017,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,15-150245S,WMS (SMART migrated),09/03/2025 9:00 AM
520151010W,473,"WESTERN MIDSTREAM PARTNERS, LP","WESTERN MIDSTREAM PARTNERS, LP",Western,GAS INTERSTATE ONSHORE,Integrated,Warning Letter,WI,192.603(b),Operation and/or Maintenance,,,,CLOSED,11/10/15,,,11/10/15,11/10/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-150200S,WMS (SMART migrated),09/03/2025 9:00 AM
420155027W,39352,"GENESIS OFFSHORE HOLDINGS, LLC","GENESIS OFFSHORE HOLDINGS, LLC",Southwest,INTERSTATE LIQUID ONSHORE,First Operating,Warning Letter,WI,195.64(c)(2)(iv),Reporting,,,,CLOSED,11/5/15,,,11/5/15,11/5/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-151593S,WMS (SMART migrated),09/03/2025 9:00 AM
520156005W,1541,"HILCORP NORTH SLOPE, LLC","HILCORP NORTH SLOPE, LLC",Western,INTRASTATE LIQUID ONSHORE,Integrated,Warning Letter,WI,195.452(j)(5)(iv),Integrity Management,,,,CLOSED,11/4/15,,,11/4/15,11/4/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-149279S,WMS (SMART migrated),09/03/2025 9:00 AM
420151011W,32206,"FREEPORT LNG DEVELOPMENT, L.P.","FREEPORT LNG DEVELOPMENT, L.P.",Southwest,GAS INTERSTATE ONSHORE,Construction,Warning Letter,WI,"192.303,  192.55(a)(1)","Construction,  Materials",,,,CLOSED,11/4/15,,,11/4/15,11/4/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-150389S,WMS (SMART migrated),09/03/2025 9:00 AM
420155026W,39351,"MONARCH OIL PIPELINE, LLC","MONARCH OIL PIPELINE, LLC",Southwest,INTERSTATE LIQUID ONSHORE,Construction,Warning Letter,WI,"195.64(a),  195.64(c)(1)",Reporting,,,,CLOSED,11/4/15,,,11/4/15,11/4/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-151479S,WMS (SMART migrated),09/03/2025 9:00 AM
520150016M,32645,"HILCORP ALASKA, LLC","HILCORP ALASKA, LLC",Western,GAS INTRASTATE ONSHORE,Integrated,Notice of Amendment,NOA,192.615(b),Operation and/or Maintenance,,,,CLOSED,11/3/15,,,12/23/15,11/3/15,12/4/15,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,14-149002S,WMS (SMART migrated),09/03/2025 9:00 AM
120150015W,3110,"DANVILLE, CITY OF","DANVILLE, CITY OF",Eastern,GAS INTRASTATE ONSHORE,First Operating,Warning Letter,WI,192.513(c),Test Requirements,,,,CLOSED,11/3/15,,,11/3/15,11/3/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-150348S,WMS (SMART migrated),09/03/2025 9:00 AM
320155009,14145,"ENLINK OHIO RIVER VALLEY PIPELINE, LLC",ERGON MIDSTREAM,Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,CO,"195.402(a),  195.452(f),  195.49","Integrity Management,  OME Procedural Manual,  Reporting",,,,CLOSED,11/2/15,Final Order,1/18/18,1/18/18,11/2/15,12/30/15,12/30/15,7/27/16,1/18/18,,,,,,,,,2015,2018,Yes,Yes,,,,,,,,Yes,,Yes,,,,,12-137986S,WMS (SMART migrated),09/03/2025 9:00 AM
320155008,32258,PEMBINA COCHIN LLC,PEMBINA COCHIN LLC,Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO/CP, CP",195.428(a),Operation and/or Maintenance,51400,36300,36300,CLOSED,10/30/15,Final Order,12/29/16,12/29/16,10/30/15,1/4/16,1/4/16,,12/29/16,,,,,,,4/26/16,,2015,2016,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Additional evidence,,,12-137990S,WMS (SMART migrated),09/03/2025 9:00 AM
420155025,300,"PLAINS PIPELINE, L.P.","PLAINS PIPELINE, L.P.",Southwest,INTERSTATE LIQUID ONSHORE,Construction,Notice of Probable Violation,CO,"195.214(a),  195.222(a)",Construction,,,,CLOSED,10/29/15,Decision for Reconsideration,6/30/17,12/27/16,10/29/15,12/2/15,,,12/27/16,1/23/17,6/30/17,,,,,,,2015,2016,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,14-146464S,WMS (SMART migrated),09/03/2025 9:00 AM
520150014W,207,ALASKA PIPELINE CO,"ALASKA PIPELINE COMPANY, LLC",Western,GAS INTRASTATE ONSHORE,Construction,Warning Letter,WI,192.805(b),Operator Qualification,,,,CLOSED,10/27/15,,,10/27/15,10/27/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-150056S,WMS (SMART migrated),09/03/2025 9:00 AM
420155024,32147,MARATHON PIPE LINE LLC,MARATHON PIPE LINE LLC,Southwest,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,CO,"195.264,  195.588","Construction,  Corrosion Control",,,,CLOSED,10/26/15,Final Order,12/2/16,11/14/18,10/26/15,12/17/15,12/17/15,5/24/16,12/2/16,,,,,,,,,2015,2018,Yes,Yes,,,,,,,,Yes,,Yes,,,,,14-147245S,WMS (SMART migrated),09/03/2025 9:00 AM
120155019,1845,"BUCKEYE PARTNERS, LP","BUCKEYE PARTNERS, LP",Eastern,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,CO/CP,195.432(b),Operation and/or Maintenance,50400,50400,50400,CLOSED,10/15/15,Final Order,12/15/16,4/20/17,10/15/15,11/3/15,,,12/15/16,,,,,,,4/18/17,,2015,2017,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,13-142460S,WMS (SMART migrated),09/03/2025 9:00 AM
420155020W,31684,PHILLIPS 66 PIPELINE LLC,PHILLIPS 66 PIPELINE LLC,Southwest,INTERSTATE LIQUID ONSHORE,Failure Investigation,Warning Letter,WI,"195.402(a),  195.402(c)(3),  195.446(b)(2),  195.446(b)(4)","Control Room Management,  OME Procedural Manual",,,,CLOSED,10/14/15,,,10/14/15,10/14/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,Incident Report,Hazardous Liquid - 20140125,14-146612S,WMS (SMART migrated),09/03/2025 9:00 AM
520156004W,32488,"ENI US OPERATING CO, INC","ENI US OPERATING CO, INC",Western,INTRASTATE LIQUID ONSHORE,Integrated,Warning Letter,WI,195.402(a),OME Procedural Manual,,,,CLOSED,10/14/15,,,10/14/15,10/14/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-150800S,WMS (SMART migrated),09/03/2025 9:00 AM
420155023,30829,ENTERPRISE CRUDE PIPELINE LLC,ENTERPRISE CRUDE PIPELINE LLC,Southwest,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CP, WI","195.430(c),  195.432(b),  195.452(g)(2)","Integrity Management,  Operation and/or Maintenance",57600,57600,57600,CLOSED,10/14/15,Final Order,10/5/16,10/21/16,10/14/15,1/18/16,,,10/5/16,,,,,,,10/21/16,,2015,2016,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,13-143655S,WMS (SMART migrated),09/03/2025 9:00 AM
420155021W,2552,COLONIAL PIPELINE CO,COLONIAL PIPELINE CO,Southwest,INTERSTATE LIQUID ONSHORE,Failure Investigation,Warning Letter,WI,195.505(b),Operator Qualification,,,,CLOSED,10/14/15,,,10/14/15,10/14/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,Incident Report,Hazardous Liquid - 20150058,15-151483S,WMS (SMART migrated),09/03/2025 9:00 AM
220151006M,19270,"TEXAS GAS TRANSMISSION, LLC","TEXAS GAS TRANSMISSION, LLC",Southern,GAS INTERSTATE ONSHORE,Integrated,Notice of Amendment,NOA,192.805(c),Operator Qualification,,,,CLOSED,10/13/15,,,11/14/17,10/13/15,11/11/15,11/11/15,,,,,,,,,,,2015,2017,,,,,,,,,,Yes,,,,,,,14-147399S,WMS (SMART migrated),09/03/2025 9:00 AM
420155022W,31574,"WESTERN REFINING LOGISTICS, LP","WESTERN REFINING LOGISTICS, LP",Southwest,INTERSTATE LIQUID ONSHORE,Failure Investigation,Warning Letter,WI,195.302(a),Pressure Testing,,,,CLOSED,10/13/15,,,10/13/15,10/13/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,Incident Report,Hazardous Liquid - 20150272,15-150824S,WMS (SMART migrated),09/03/2025 9:00 AM
220151005,19270,"TEXAS GAS TRANSMISSION, LLC","TEXAS GAS TRANSMISSION, LLC",Southern,GAS INTERSTATE ONSHORE,Integrated,Notice of Probable Violation,CO,192.805(g),Operator Qualification,,,,CLOSED,10/13/15,Final Order,8/24/17,8/24/17,10/13/15,11/11/15,11/11/15,,8/24/17,,,,,,,,,2015,2017,Yes,Yes,,,,,,,,Yes,,Yes,,,,,14-147399S,WMS (SMART migrated),09/03/2025 9:00 AM
420151010W,31728,"GULF SOUTH PIPELINE COMPANY, LLC","GULF SOUTH PIPELINE COMPANY, LLC",Southwest,GAS INTERSTATE ONSHORE,Integrated,Warning Letter,WI,192.619(a),Operation and/or Maintenance,,,,CLOSED,10/13/15,,,10/13/15,10/13/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-149400S,WMS (SMART migrated),09/03/2025 9:00 AM
120151025,19235,"TEXAS EASTERN TRANSMISSION, LP (SPECTRA ENERGY PARTNERS, LP)","TEXAS EASTERN TRANSMISSION, LP",Eastern,GAS INTERSTATE ONSHORE,Failure Investigation,Notice of Probable Violation,CP,"192.605(a),  199.202,  199.225(a)(2)(i)","Drug and Alcohol,  OME Procedural Manual",239200,239200,239200,CLOSED,9/29/15,Final Order,12/29/16,1/18/17,9/29/15,11/12/15,,,12/29/16,,,,,,,1/18/17,,2015,2017,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,Incident Report,Gas Transmission and Gathering - 20140064,14-146916S,WMS (SMART migrated),09/03/2025 9:00 AM
120155018H,2552,COLONIAL PIPELINE CO,COLONIAL PIPELINE CO,Eastern,INTERSTATE LIQUID ONSHORE,Failure Investigation,Corrective Action Order,,,,,,,CLOSED,9/29/15,Corrective Action Order,10/22/15,7/16/20,,,10/7/15,,,,,,10/22/15,,,,,2015,2020,Yes,,,,,Yes,,,,,,,,,Incident Report,Hazardous Liquid - 20150367,15-151343S,WMS (SMART migrated),09/03/2025 9:00 AM
120155017,38922,MIPC LLC,MIPC LLC,Eastern,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CO/CP, CP","195.432(a),  195.452(h)(2),  195.452(h)(4)(i)","Integrity Management,  Operation and/or Maintenance",110300,108900,108900,CLOSED,9/29/15,Final Order,12/2/16,4/6/17,9/29/15,10/29/15,,,12/2/16,,,,,,,12/9/16,,2015,2017,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Additional evidence,,,14-145201S,WMS (SMART migrated),09/03/2025 9:00 AM
120150014W,2268,"CHARLOTTESVILLE, CITY OF","CHARLOTTESVILLE, CITY OF",Eastern,GAS INTRASTATE ONSHORE,First Operating,Warning Letter,WI,192.725(b),Operation and/or Maintenance,,,,CLOSED,9/28/15,,,9/28/15,9/28/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-150347S,WMS (SMART migrated),09/03/2025 9:00 AM
120150013W,2268,"CHARLOTTESVILLE, CITY OF","CHARLOTTESVILLE, CITY OF",Eastern,GAS INTRASTATE ONSHORE,Construction,Warning Letter,WI,192.361(b),Customer Meters and Service Line,,,,CLOSED,9/28/15,,,9/28/15,9/28/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,,,15-151006S,WMS (SMART migrated),09/03/2025 9:00 AM
420155019,22610,"MAGELLAN PIPELINE COMPANY, LP","MAGELLAN PIPELINE COMPANY, LP",Southwest,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CO, WI","195.264(b)(1),  195.64(c)","Construction,  Reporting",,,,CLOSED,9/24/15,,,2/27/17,9/24/15,11/5/15,11/5/15,,,,,,,,,,2/27/17,2015,2017,,,,,,,,,,Yes,,Yes,,,,,14-148392S,WMS (SMART migrated),09/03/2025 9:00 AM
520155022W,15156,SINCLAIR TRANSPORTATION COMPANY,SINCLAIR TRANSPORTATION COMPANY,Western,INTERSTATE LIQUID ONSHORE,Integrated,Warning Letter,WI,"195.452(h)(1)(i),  195.54","Integrity Management,  Reporting",,,,CLOSED,9/22/15,,,9/22/15,9/22/15,,,,,,,,,,,,,2015,2015,,,,,,,,,,Yes,,,,,Incident Report,Hazardous Liquid - 20140328,14-146142S,WMS (SMART migrated),09/03/2025 9:00 AM
420155018,31672,"CHAPARRAL ENERGY, LLC","CHAPARRAL ENERGY, LLC",Southwest,INTERSTATE LIQUID ONSHORE,Failure Investigation,Notice of Probable Violation,CO/CP,190.233(a),Enforcement and Regulatory Procedures,115200,0,,CLOSED,9/18/15,Final Order,1/17/17,1/17/17,9/18/15,10/16/15,10/16/15,3/31/16,1/17/17,,,,,,,,,2015,2017,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Additional evidence,Incident Report,Hazardous Liquid - 20150341,15-151165S,WMS (SMART migrated),09/03/2025 9:00 AM
